"","Ano da eleição","UF","Cargo","Sigla do partido","Cadeiras conquistadas por UF","Total de cadeiras conquistadas","Percentual de cadeiras"
"348",2002,"PA","Deputado Federal","PT",3,91,0.177387914230019
"349",2002,"PB","Deputado Federal","PT",1,91,0.177387914230019
"350",2002,"PE","Deputado Federal","PT",3,91,0.177387914230019
"351",2002,"PI","Deputado Federal","PT",1,91,0.177387914230019
"352",2002,"PR","Deputado Federal","PT",6,91,0.177387914230019
"353",2002,"RJ","Deputado Federal","PT",7,91,0.177387914230019
"354",2002,"RN","Deputado Federal","PT",1,91,0.177387914230019
"355",2002,"RO","Deputado Federal","PT",2,91,0.177387914230019
"356",2002,"RS","Deputado Federal","PT",8,91,0.177387914230019
"357",2002,"SC","Deputado Federal","PT",5,91,0.177387914230019
"358",2002,"SE","Deputado Federal","PT",1,91,0.177387914230019
"359",2002,"SP","Deputado Federal","PT",18,91,0.177387914230019
"360",2002,"AL","Deputado Federal","PTB",2,26,0.050682261208577
"361",2002,"AM","Deputado Federal","PTB",1,26,0.050682261208577
"362",2002,"AP","Deputado Federal","PTB",1,26,0.050682261208577
"363",2002,"BA","Deputado Federal","PTB",1,26,0.050682261208577
"364",2002,"ES","Deputado Federal","PTB",1,26,0.050682261208577
"365",2002,"MG","Deputado Federal","PTB",2,26,0.050682261208577
"366",2002,"MS","Deputado Federal","PTB",1,26,0.050682261208577
"367",2002,"PA","Deputado Federal","PTB",1,26,0.050682261208577
"368",2002,"PB","Deputado Federal","PTB",2,26,0.050682261208577
"369",2002,"PR","Deputado Federal","PTB",3,26,0.050682261208577
"370",2002,"RJ","Deputado Federal","PTB",1,26,0.050682261208577
"371",2002,"RN","Deputado Federal","PTB",1,26,0.050682261208577
"372",2002,"RO","Deputado Federal","PTB",1,26,0.050682261208577
"373",2002,"RS","Deputado Federal","PTB",3,26,0.050682261208577
"374",2002,"SP","Deputado Federal","PTB",5,26,0.050682261208577
"375",2002,"BA","Deputado Federal","PV",1,5,0.00974658869395711
"376",2002,"MG","Deputado Federal","PV",1,5,0.00974658869395711
"377",2002,"RJ","Deputado Federal","PV",1,5,0.00974658869395711
"378",2002,"SP","Deputado Federal","PV",2,5,0.00974658869395711
"379",2006,"MA","Deputado Federal","PAN",1,1,0.00194931773879142
"380",2006,"AC","Deputado Federal","PC do B",1,13,0.0253411306042885
"381",2006,"AM","Deputado Federal","PC do B",1,13,0.0253411306042885
"382",2006,"AP","Deputado Federal","PC do B",1,13,0.0253411306042885
"383",2006,"BA","Deputado Federal","PC do B",2,13,0.0253411306042885
"384",2006,"CE","Deputado Federal","PC do B",1,13,0.0253411306042885
"385",2006,"MA","Deputado Federal","PC do B",1,13,0.0253411306042885
"386",2006,"MG","Deputado Federal","PC do B",1,13,0.0253411306042885
"387",2006,"PE","Deputado Federal","PC do B",1,13,0.0253411306042885
"388",2006,"PI","Deputado Federal","PC do B",1,13,0.0253411306042885
"389",2006,"RJ","Deputado Federal","PC do B",1,13,0.0253411306042885
"390",2006,"RS","Deputado Federal","PC do B",1,13,0.0253411306042885
"391",2006,"SP","Deputado Federal","PC do B",1,13,0.0253411306042885
