"","ANO_ELEICAO","DESCRICAO_CARGO","SIGLA_PARTIDO","UF","Cadeiras conquistadas"
"425",2002,"DEPUTADO ESTADUAL","PPS","RS",3
"426",2002,"DEPUTADO ESTADUAL","PPS","SE",3
"427",2002,"DEPUTADO ESTADUAL","PPS","SP",5
"428",2002,"DEPUTADO ESTADUAL","PPS","TO",1
"429",2002,"DEPUTADO ESTADUAL","PRONA","AL",1
"430",2002,"DEPUTADO ESTADUAL","PRONA","RJ",2
"431",2002,"DEPUTADO ESTADUAL","PRONA","SP",4
"432",2002,"DEPUTADO ESTADUAL","PRP","AL",1
"433",2002,"DEPUTADO ESTADUAL","PRP","BA",1
"434",2002,"DEPUTADO ESTADUAL","PRP","GO",1
"435",2002,"DEPUTADO ESTADUAL","PRP","PR",1
"436",2002,"DEPUTADO ESTADUAL","PRP","RR",1
"437",2002,"DEPUTADO ESTADUAL","PRP","SP",1
